CountyCode,RSNA
2,3.6223277909738716
4,4.744172918046313
5,12.217927939159706
7,195.9868059373282
9,28.86284722222222
11,25.273321027971036
15,7.993782613522815
18,22.38462504009707
19,14.35784885505556
20,0.7753124203009436
21,3.3157569072664175
22,7.070824156717283
23,17.245095925846087
24,11.277513364132483
25,15.939092868574177
26,5.1944847157531076
27,12.62081500229315
31,1.6011178713865681
32,12.571046472751588
34,8.25594139363175
35,6.706997289132153
37,2.721103670690466
38,8.392545075920093
39,7.14614405976775
42,4.94936928983239
43,28.062938845503208
44,59.65488907148726
45,5.622152447873503
46,0.7460265974699968
49,4.62820117247763
50,7.53796392741626
52,26.199773271192846
